,Company,Sector,Climate_Transition_Score,Data_Coverage,Benchmark_Weight,Prior_Return,BL_Posterior_Return,Weight,Active_Weight,Dollar_Allocation
KEY,KeyCorp,Financials,61.691753832960416,0.8000000000000002,0.0021141649048625794,0.1538251041122886,0.15833278585368907,0.007279941114491232,0.005165776209628653,7279941.114491233
MRK,Merck & Co Inc,Health Care,65.69742807540668,1.0000000000000002,0.0021141649048625794,0.04955552675814,0.05088211974320963,0.00723576950900598,0.0051216046041434,7235769.509005981
HPQ,HP Inc,Information Technology,68.75126043049494,1.0000000000000002,0.0021141649048625794,0.1185954024142326,0.12431498958090183,0.007221254018761101,0.005107089113898521,7221254.018761101
PYPL,PayPal Holdings Inc,Financials,66.08448022056865,1.0000000000000002,0.0021141649048625794,0.11994615993825279,0.12665547455874263,0.007160734244702184,0.005046569339839605,7160734.244702184
IR,Ingersoll Rand Inc,Industrials,74.16822157471478,1.0000000000000002,0.0021141649048625794,0.12222634097526268,0.12447650739427929,0.00712241944261338,0.005008254537750801,7122419.44261338
V,Visa Inc,Financials,59.82197386477718,1.0000000000000002,0.0021141649048625794,0.0953017338291772,0.09975572654787711,0.007117970222316512,0.005003805317453933,7117970.222316512
MCK,McKesson Corp,Health Care,79.21931663398959,1.0000000000000002,0.0021141649048625794,0.061251311391173714,0.0636309656896669,0.007116105934900492,0.0050019410300379125,7116105.934900492
CNC,Centene Corp,Health Care,86.28154299153873,0.8000000000000002,0.0021141649048625794,0.08026408248706991,0.08596255515544586,0.007090362995151534,0.0049761980902889545,7090362.995151535
GEN,Gen Digital Inc,Information Technology,77.90077959991767,0.8000000000000002,0.0021141649048625794,0.06813667978488064,0.07296104040751171,0.007063081204641438,0.004948916299778859,7063081.204641438
KO,Coca-Cola Co/The,Consumer Staples,81.99348877080712,1.0000000000000002,0.0021141649048625794,0.05438861190512789,0.05477022282772133,0.007029017870666111,0.004914852965803532,7029017.870666111
CI,Cigna Group/The,Health Care,65.5973498230019,0.9200000000000002,0.0021141649048625794,0.08263457089020942,0.08647442822005542,0.007002613296151887,0.004888448391289308,7002613.296151888
FTV,Fortive Corp,Industrials,68.06928598318069,0.8000000000000002,0.0021141649048625794,0.10642297861881884,0.10908326222481504,0.006999817735336746,0.004885652830474166,6999817.735336746
DELL,Dell Technologies Inc,Information Technology,71.38103550765678,1.0000000000000002,0.0021141649048625794,0.11756472613775559,0.12371510168910403,0.006942668713718478,0.0048285038088558985,6942668.713718479
